SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NLA06608-0588,39.3320249,-97.374823,6,1729,589,2.935483871,0.340659341
NLA06608-0590,45.9076374,-89.9169627,6.17,884,46,19.2173913,0.052036199
NLA06608-0591,34.1376116,-84.6432365,1.91,182,5,36.4,0.027472527
NLA06608-0593,48.7086784,-122.3277089,3.37,203,4,50.75,0.019704433
NLA06608-0594,32.3783416,-82.0648507,10.67,821,41,20.02439024,0.049939099
NLA06608-0595,45.8121509,-99.7660399,26.23,3828,258,14.8372093,0.067398119
NLA06608-0596,39.0798636,-106.3650807,1.29,96,1,96,0.010416667
NLA06608-0597,43.5470582,-116.6654946,2.84,361,22,16.40909091,0.060941828
NLA06608-0599,30.2900887,-96.5978144,8.49,1012,90,11.24444444,0.088932806
NLA06608-0606,45.9726285,-90.5081642,8.4,708,15,47.2,0.021186441
NLA06608-0608,36.590093,-89.269751,6.89,2184,327,6.678899083,0.149725275
NLA06608-0609,28.0612687,-82.2772918,14.15,3334,239,13.94979079,0.071685663
NLA06608-0610,42.6913209,-71.3703595,4.13,549,11,49.90909091,0.02003643
