SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NWCA16-3345,36.308028,-75.914179,222,6.35,65,0.028603604,34.96062944
NWCA16-3348,35.095578,-77.00548,18.3,1.13,174,0.061748634,16.19469023
NWCA16-3349,35.64872,-76.00309,54.5,1.22,22,0.022385321,44.67213135
NWCA16-3350,35.853235,-79.099261,1.18,0.866,98,0.733898305,1.362586605
NWCA16-3352,35.462858,-76.622998,28,37.4,194,1.335714286,0.748663101
NWCA16-3471,40.8599265,-97.3947515,21.4775,1.54,1385,0.071520761,13.98195423
NWCA16-3473,40.432264,-101.6113925,3.252,0.9205,17,0.281975229,3.546410815
NWCA16-3476,42.185171,-100.182421,51,4.05,524,0.079411765,12.59259255
NWCA16-3477,42.802306,-103.398995,16.765,0.919,64,0.054816582,18.24265511
NWCA16-3478,41.844786,-101.44456,2.115,2.05,221,0.969267139,1.031707318
NWCA16-3481,42.424804,-101.903079,17.2,1.25,253,0.072674419,13.75999993
NWCA16-3494,44.624095,-71.445315,9.78,0.976,45,0.099887705,10.01124212
NWCA16-3496,45.1762,-71.082,3.01,0.341,26,0.113289037,8.826979437
NWCA16-3497,42.91508,-70.8166,10.1,1.56,192,0.154455446,6.474358955
