SITE_ID,DOC_Median,NO3_Median,TP_Median,NO3toTP_Median
NLA17_MN_10192,9.63,0.4767,269.23125,0.001770597
NLA17_MN_10193,16.84,0,138.71,0
NLA17_MN_10194,8.12,0,11.6025,0
NLA17_MN_10842,6.63,0,17.18,0
NLA17_MN_HP002,4.86,0,10.95875,0
NLA17_MN_HP003,6.42,0,14.845,0
NLA17_MN_HP004,10.48,0,27.83625,0
NLA17_MO_10001,5.67,0.0342,90.239375,0.000378992
NLA17_MO_10002,4.7,0,38.24125,0
NLA17_MO_10003,5.14,0,42.39875,0
NLA17_MO_10004,4.79,0,24.685,0
NLA17_MO_10005,3.38,0,21.22,0
NLA17_MO_10006,4.865,0,18.125625,0
NLA17_MO_10007,6.04,6.00E-04,62.12625,9.65775E-06
NLA17_MO_10008,7.55,0,103.61375,0
NLA17_MO_10009,5.27,0,23.68625,0
NLA17_MO_10010,6,4.00E-04,56.09125,7.13124E-06
NLA17_MO_10015,6.9,0,88.808,0
NLA17_MO_10027,7.65,9.00E-04,161.02875,5.58906E-06
NLA17_MO_10028,7.61,0.0052,75.63875,6.87478E-05
NLA17_MO_10036,11.62,0.0022,347.68625,6.32754E-06
NLA17_MO_10038,3.6,0.0024,12.64,0.000189873
NLA17_MO_10039,4.29,0.0019,38.1825,4.9761E-05
NLA17_MO_10043,8.01,0.0017,46.89875,3.62483E-05
NLA17_MO_HP001,3.75,0,7.30625,0
NLA17_MO_HP002,6.43,0.0012,25.2025,4.76143E-05
NLA17_MO_HP003,5.73,0,27.92125,0
NLA17_MO_HP004,5.14,0,13.7775,0
NLA17_MO_HP005,8.52,0,56.62875,0
NLA17_MO_HP006,1.97,0,6.4275,0
NLA17_MO_HP007,2.7,0,4.6175,0
NLA17_MO_HP008,3.56,0,13.47625,0
NLA17_MO_HP009,2.86,0,10.94625,0
NLA17_MO_HP010,3.43,0,8.5,0
NLA17_MS_10001,4.125,0,67.579375,0
NLA17_MS_10002,4.69,0,54.89375,0
NLA17_MS_10003,3.46,0.0017,29.41625,5.77912E-05
